Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
6/22/2019,AQS,490353006,2,2.3,ug/m3 LC,10,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/23/2019,AQS,490353006,2,3.3,ug/m3 LC,14,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/24/2019,AQS,490353006,2,4.2,ug/m3 LC,18,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/25/2019,AQS,490353006,2,6.1,ug/m3 LC,25,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/26/2019,AQS,490353006,2,6.2,ug/m3 LC,26,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/27/2019,AQS,490353006,2,4.6,ug/m3 LC,19,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/28/2019,AQS,490353006,2,5.1,ug/m3 LC,21,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/29/2019,AQS,490353006,2,7.5,ug/m3 LC,31,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
6/30/2019,AQS,490353006,2,5.3,ug/m3 LC,22,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
7/1/2019,AQS,490353006,2,3.3,ug/m3 LC,14,Hawthorne,1,100,88101,PM2.5 - Local Conditions,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
